部,セッション,時間,経過合計,経過時間,スライドタイトル,内容
第1部,導入,8:55:00,-0:05:00,0:05:00,,slido/Google Spreadsheet の案内
,,9:00:00,0:00:00,0:05:00,イントロ,理事長あいさつ・案内
,,9:05:00,0:05:00,0:01:00,イントロ,自己紹介
,,9:06:00,0:06:00,0:01:00,今日の構造,目的・今日の構造の説明
,,9:07:00,0:07:00,0:00:30,"前半で行うことの紹介
今日聞けば、〇〇できるようになる！",前半の内容と目的
,"前半1:
生成AIとは何か",9:07:30,0:07:30,0:01:00,[slido]会場アンケート1-①,どのくらいの頻度で使っているか
,,9:08:30,0:08:30,0:01:00,[slido]会場アンケート1-②,何に使っているか
,,9:09:30,0:09:30,0:00:30,[slido]会場アンケート1-③,AIに対する印象ポジティブ・ネガティブ
,,9:10:00,0:10:00,0:01:30,社会全体の状況,教員は何が困っているか / 学生の状況は?
,,9:11:30,0:11:30,0:01:00,生成AIのレベル別変化,使える範囲がどんどん上がっている
,,9:12:30,0:12:30,0:00:30,未来の資料例①,AI agentの例
,,9:13:00,0:13:00,0:01:30,未来の使用例②,プログラミングの例
,,9:14:30,0:14:30,0:02:30,ChatGPTのような生成AIって一言で何,"①次の尤もらしいTokenを予測する作業
②ルールではなく、数字の塊
③resoning することで精度を上げる"
,,9:17:00,0:17:00,0:02:00,生成AIの作り方,"①学習を行う
数字の並び方：「厳密な数列？」「最小二乗法」
②推論を行う
→ 可視化するシステム"
,,9:19:00,0:19:00,0:02:00,AIの種類(特化型：画像生成、クラウド型、全部、自分のPC),
,,9:21:00,0:21:00,0:01:00,AI利用の危険性：オプトアウト,
,,9:22:00,0:22:00,0:01:00,AI利用の危険性：認知的降伏,
,,9:23:00,0:23:00,0:01:00,AI利用の危険性：シャドーAI/自動で設定,
,,9:24:00,0:24:00,0:01:00,AI利用の危険性：著作権,
,,9:25:00,0:25:00,0:01:00,AI利用の注意点：ハルシネーション・カットオフ,
,,9:26:00,0:26:00,0:01:00,AI利用の注意点：バイアス,
,,9:27:00,0:27:00,0:01:00,AI利用の注意点：安全性・透明性,
,,9:28:00,0:28:00,0:01:00,使用上の工夫：ループする、使わないことには使わない,
,,9:29:00,0:29:00,0:02:00,AIの中心的価値：人間中心の社会原則,
,,9:31:00,0:31:00,0:01:00,どんな未来を想像しますか？,
,,9:32:00,0:32:00,0:01:00,[slido]会場アンケート2-①,最も伝えたかった内容：4択クイズ
,,9:33:00,0:33:00,0:01:00,[slido]会場アンケート2-②,何がいま困っていることか？
,,9:34:00,0:34:00,0:02:00,2分休憩,
,"前半2:
生成AIと大学教育",9:36:00,0:36:00,0:01:00,後半の内容と目的,
,,9:37:00,0:37:00,0:01:00,大学への影響の整理,
,,9:38:00,0:38:00,0:01:00,①学生とAIとの関わり方：出口から考える,
,,9:39:00,0:39:00,0:01:00,守り,
